x,y,z
0,0,0
0,50,0
0,100,0
0,150,0
0,200,0
0,250,0
0,300,0
0,350,0
0,400,0
0,450,0
0,500,0
0,550,0
0,600,0
0,650,0
0,700,0
0,750,0
0,800,0
0,850,0
0,900,0
0,950,0
0,1000,0
0,1050,0
0,1100,0
0,1150,0
0,1200,0
0,1250,0
0,1300,0
0,1350,0
0,1400,0
0,1450,0
25,0,0
25,50,179.80869236481868
25,100,228.80869236481868
25,150,257.4718549001553
25,200,277.8086923648187
25,250,293.5831690142994
25,300,306.47185490015534
25,350,317.3690835456413
25,400,326.8086923648187
25,450,335.135017435492
25,500,342.5831690142994
25,550,349.32084167804624
25,600,355.47185490015534
25,650,361.13023855373217
25,700,366.3690835456413
25,750,371.24633154963607
25,800,375.8086923648187
25,850,380.0943715860853
25,900,384.135017435492
25,950,387.95714052355436
25,1000,391.5831690142994
25,1050,395.0322460809779
25,1100,398.32084167804624
25,1150,401.4632282116123
25,1200,404.47185490015534
25,1250,407.35764566378015
25,1300,410.13023855373217
25,1350,412.79817997082864
25,1400,415.3690835456413
25,1450,417.84976112606967
50,0,0
50,50,319.9050971091867
50,100,418.9050971091867
50,150,476.8163846805812
50,200,517.9050971091867
50,250,549.7759785030356
50,300,575.8163846805813
50,350,597.8332343928896
50,400,616.9050971091868
50,450,633.7276722519757
50,500,648.7759785030356
50,550,662.3888273542792
50,600,674.8163846805813
50,650,686.2486292051549
50,700,696.8332343928896
50,750,706.6872660744301
50,800,715.9050971091868
50,850,724.5639183929704
50,900,732.7276722519757
50,950,740.4499209401018
50,1000,747.7759785030356
50,1050,754.7445219642841
50,1100,761.3888273542792
50,1150,767.737730758831
50,1200,773.8163846805813
50,1250,779.6468598968845
50,1300,785.2486292051548
50,1350,790.6389598233701
50,1400,795.8332343928897
50,1450,800.8452156268164
75,0,0
75,50,441.5443517987471
75,100,590.5443517987471
75,150,677.7037644061993
75,200,739.5443517987471
75,250,787.511637936964
75,300,826.7037644061995
75,350,859.8402351853301
75,400,888.5443517987471
75,450,913.8631770136517
75,500,936.511637936964
75,550,956.9996629757043
75,600,975.7037644061995
75,650,992.9098698017697
75,700,1008.8402351853301
75,750,1023.6710505444164
75,800,1037.5443517987471
75,850,1050.5763151450478
75,900,1062.8631770136517
75,950,1074.4855513018415
75,1000,1085.511637936964
75,1050,1095.9996477927825
75,1100,1105.9996629757043
75,1150,1115.555083251242
75,1200,1124.7037644061995
75,1250,1133.478924075181
75,1300,1141.9098698017697
75,1350,1150.022589621104
75,1400,1157.8402351853301
75,1450,1165.3835200727553
100,0,0
100,50,551.097906597923
100,100,750.097906597923
100,150,866.5054442414331
