x,y,z
0,0,0
0,50,0
0,100,0
0,150,0
0,200,0
0,250,0
0,300,0
0,350,0
0,400,0
0,450,0
0,500,0
0,550,0
0,600,0
0,650,0
0,700,0
0,750,0
0,800,0
0,850,0
0,900,0
0,950,0
0,1000,0
0,1050,0
0,1100,0
0,1150,0
0,1200,0
0,1250,0
0,1300,0
0,1350,0
0,1400,0
0,1450,0
25,0,0
25,50,76.96
25,100,107.96
25,150,126.093
25,200,138.96
25,250,148.939
25,300,157.093
25,350,163.988
25,400,169.96
25,450,175.227
25,500,179.939
25,550,184.202
25,600,188.093
25,650,191.673
25,700,194.988
25,750,198.073
25,800,200.96
25,850,203.671
25,900,206.227
25,950,208.645
25,1000,210.939
25,1050,213.121
25,1100,215.202
25,1150,217.19
25,1200,219.093
25,1250,220.919
25,1300,222.673
25,1350,224.361
25,1400,225.988
25,1450,227.557
50,0,0
50,50,97.563
50,100,160.563
50,150,197.416
50,200,223.563
50,250,243.844
50,300,260.416
50,350,274.426
50,400,286.563
50,450,297.268
50,500,306.844
50,550,315.507
50,600,323.416
50,650,330.691
50,700,337.426
50,750,343.697
50,800,349.563
50,850,355.073
50,900,360.268
50,950,365.182
50,1000,369.844
50,1050,374.279
50,1100,378.507
50,1150,382.547
50,1200,386.416
50,1250,390.126
50,1300,393.691
50,1350,397.121
50,1400,400.426
50,1450,403.616
75,0,0
75,50,97.563
75,100,201.77
75,150,276.06
75,200,328.77
75,250,369.655
75,300,403.06
75,350,431.304
75,400,455.77
75,450,477.35
75,500,496.655
75,550,514.118
75,600,530.06
75,650,544.726
75,700,558.304
75,750,570.945
75,800,582.77
75,850,593.878
75,900,604.35
75,950,614.257
75,1000,623.655
75,1050,632.594
75,1100,641.118
75,1150,649.262
75,1200,657.06
75,1250,664.539
75,1300,671.726
75,1350,678.64
75,1400,685.304
75,1450,691.733
100,0,0
100,50,97.563
100,100,201.77
100,150,276.06
100,200,328.77
100,250,369.655
100,300,403.06
100,350,431.304
100,400,455.77
100,450,477.35
100,500,496.655
100,550,514.118
100,600,530.06
100,650,544.726
100,700,558.304
100,750,570.945
100,800,582.77
100,850,593.878
100,900,604.35
100,950,614.257
100,1000,623.655
100,1050,632.594
100,1100,641.118
100,1150,649.262
100,1200,657.06
100,1250,664.539
100,1300,671.726
100,1350,678.64
100,1400,685.304
100,1450,691.733
125,0,0
125,50,97.563
125,100,201.77
125,150,276.06
125,200,328.77
125,250,369.655
125,300,403.06
125,350,431.304
125,400,455.77
125,450,477.35
125,500,496.655
125,550,514.118
125,600,530.06
125,650,544.726
125,700,558.304
125,750,570.945
125,800,582.77
125,850,593.878
125,900,604.35
