x,y,z
0,2,0.26345
100,2,52.45924
200,2,107.12624
300,2,161.85164
400,2,208.70209
500,2,264.40978
0,52,0.25034
100,52,77.27146
200,52,144.05251
300,52,206.44665
400,52,270.4978
500,52,331.83217
0,102,0.25511
100,102,80.29819
200,102,144.68312
300,102,204.07557
400,102,264.40263
500,102,336.22265
0,152,0.25034
100,152,79.14543
200,152,146.26741
300,152,205.79696
400,152,269.28306
500,152,340.86347
0,202,0.24915
100,202,80.43885
200,202,148.03052
300,202,202.58307
400,202,272.63999
500,202,338.79042
0,252,0.25272
100,252,83.14371
200,252,154.29735
300,252,210.56056
400,252,273.88811
500,252,332.70836
0,302,0.27299
100,302,83.16755
200,302,155.15566
300,302,210.2983
400,302,273.35405
500,302,340.66916
0,352,0.26584
100,352,85.50048
200,352,157.38845
300,352,219.16151
400,352,287.36711
500,352,345.82138
0,402,0.27895
100,402,87.22186
200,402,155.34639
300,402,222.2693
400,402,281.49724
500,402,354.38776
0,452,0.28133
100,452,86.93814
200,452,161.5715
300,452,217.30304
400,452,284.10673
500,452,356.26888
0,502,0.28133
100,502,89.21266
200,502,154.11139
300,502,219.45
400,502,290.59887
500,502,352.23126
