x,y,z
0,2,0.26464
100,2,51.76902
200,2,105.66354
300,2,159.70349
400,2,209.56874
500,2,264.69827
0,52,0.24557
100,52,70.65654
200,52,135.30135
300,52,194.21935
400,52,261.5881
500,52,320.68729
0,102,0.24438
100,102,74.03255
200,102,137.23135
300,102,199.22733
400,102,267.35187
500,102,323.67468
0,152,0.26226
100,152,73.10867
200,152,137.707
300,152,197.13759
400,152,267.32802
500,152,320.75644
0,202,0.24796
100,202,75.9542
200,202,142.27509
300,202,199.29528
400,202,266.08109
500,202,329.92005
0,252,0.25272
100,252,77.28577
200,252,144.9573
300,252,202.14558
400,252,276.84689
500,252,330.68657
0,302,0.27657
100,302,80.33991
200,302,148.30828
300,302,208.44221
400,302,272.83311
500,302,341.86006
0,352,0.2718
100,352,81.35796
200,352,144.79399
300,352,211.47251
400,352,278.40376
500,352,332.83472
0,402,0.27776
100,402,80.25885
200,402,151.81661
300,402,208.84156
400,402,277.52399
500,402,343.88781
0,452,0.26345
100,452,81.62856
200,452,147.94588
300,452,211.58218
400,452,281.20399
500,452,337.92973
0,502,0.26822
100,502,81.94447
200,502,152.36259
300,502,213.62901
400,502,276.47614
500,502,345.56985
