x,y,z
0,2,0.28372
100,2,52.23989
200,2,100.56615
300,2,150.55418
400,2,203.6345
500,2,252.08473
0,52,0.24199
100,52,129.76527
200,52,250.41819
300,52,370.92686
400,52,496.38987
500,52,604.10976
0,102,0.24319
100,102,137.27307
200,102,259.61637
300,102,388.23366
400,102,502.43974
500,102,628.11971
0,152,0.23603
100,152,144.20867
200,152,276.23415
300,152,401.62921
400,152,526.02768
500,152,649.86706
0,202,0.24557
100,202,148.61941
200,202,276.29614
300,202,407.24993
400,202,532.48048
500,202,652.50754
0,252,0.23723
100,252,146.80862
200,252,281.39472
300,252,417.01794
400,252,539.32071
500,252,663.59282
0,302,0.28014
100,302,155.13301
200,302,295.29214
300,302,426.98503
400,302,557.10435
500,302,689.30149
0,352,0.2861
100,352,159.85847
200,352,297.25313
300,352,434.93748
400,352,557.307
500,352,692.94333
0,402,0.29206
100,402,158.56147
200,402,301.08094
300,402,440.94801
400,402,577.32463
500,402,702.25358
0,452,0.28133
100,452,167.61661
200,452,308.58159
300,452,454.63085
400,452,582.97038
500,452,718.11199
0,502,0.2861
100,502,168.15186
200,502,308.52914
300,502,462.18991
400,502,588.12022
500,502,725.67344
