x, y
50000,36.15618
100000,59.88717
150000,83.98175
200000,111.17578
250000,134.70292
300000,158.68664
350000,184.35836
400000,205.9567
450000,230.49474
500000,254.05526
550000,277.83155
600000,300.44079
650000,325.04797
700000,347.87655
750000,372.16425
800000,395.56861
850000,419.81459
900000,442.32249
950000,467.59844
1000000,489.5401
1050000,513.17692
1100000,539.27422
1150000,563.18402
1200000,586.95436
1250000,616.38832
1300000,643.44287
1350000,667.53983
1400000,693.37845
1450000,724.19047
1500000,762.42805
1550000,794.16275
1600000,829.39506
1650000,860.49199
1700000,904.71745
1750000,954.84376
1800000,917.58609
1850000,990.54217
1900000,999.04776
1950000,1040.16066
2000000,1102.1018
2050000,1128.77607
2100000,1183.92348
2150000,1225.54064
2200000,1211.69448
2250000,1255.48124
2300000,1310.83488
2350000,1311.50007
2400000,1311.98883
2450000,1364.84623
2500000,1438.34949
2550000,1495.3661
2600000,1527.00186
2650000,1562.37841
2700000,1588.84525
2750000,1599.83516
2800000,1650.6362
2850000,1683.34842
2900000,1718.95981
2950000,1765.93304
3000000,1781.7688
