x, y
5,2.43425
6,2.45333
7,2.42352
8,2.4581
9,2.44975
10,2.44498
11,2.44975
12,2.49863
13,2.4569
14,2.41637
15,2.44737
16,2.46048
17,2.44021
18,2.4724
19,2.45094
20,2.44617
21,2.47717
22,2.45452
23,2.44975
24,2.47359
25,2.44021
26,2.43783
27,2.47359
28,2.46882
29,2.44856
30,2.49386
31,2.45929
32,2.44021
33,2.56062
34,2.48432
35,2.45214
36,2.49863
37,2.46406
38,2.48075
39,2.4569
40,2.47955
41,2.47836
42,2.46286
43,2.46286
44,2.45214
45,2.46406
46,2.48551
47,2.48671
48,2.48194
49,2.44141
50,2.51293
51,2.47598
52,2.4724
53,2.47598
54,2.48551
55,2.47717
56,2.48313
57,2.48909
58,2.48671
59,2.51532
60,2.50697
61,2.48194
62,2.49028
63,2.4879
64,2.47717
65,2.50936
66,2.49028
67,2.51055
68,2.51174
69,2.50697
70,2.49624
71,2.50936
72,2.50936
73,2.52843
74,2.51174
75,2.5022
76,2.53439
77,2.4879
78,2.5177
79,2.50936
80,2.49743
81,2.49505
82,2.51532
83,2.5022
84,2.45452
85,2.54154
86,2.51055
87,2.53081
88,2.51174
89,2.50816
90,2.51174
91,3.73483
92,2.53201
93,2.53797
94,2.50697
95,2.55227
96,2.54393
97,2.52128
98,2.51651
99,2.54393
100,2.51412
101,2.52247
102,2.52724
103,2.49982
104,2.50936
105,2.52604
106,2.49624
107,2.51889
108,2.53797
109,2.50101
110,2.53081
111,2.52008
112,2.46406
113,2.5475
114,2.51889
115,2.49982
116,2.55466
117,2.52485
118,2.51055
119,2.51889
120,2.51412
121,2.51532
122,2.54631
123,2.51651
124,2.52604
125,2.54631
126,2.53677
127,2.52962
128,2.53081
129,2.52485
130,2.52247
131,2.47836
132,2.55585
133,2.5773
134,2.53201
135,2.55227
136,2.57254
137,2.54869
138,2.55346
139,2.56538
140,2.55823
141,2.54989
142,2.5785
143,2.53677
144,2.55704
145,2.55466
146,2.56658
147,2.57492
148,2.57254
149,2.49982
150,2.58923
151,2.55823
152,2.57015
153,2.59995
154,2.57015
155,2.55346
156,2.5928
157,2.55704
158,2.55466
159,2.60234
160,2.53201
161,2.56181
162,2.61545
163,2.55585
164,2.55585
165,2.60949
166,2.57134
167,2.57134
168,2.58923
169,2.56181
170,2.58446
171,2.56896
172,2.55466
173,2.56896
174,2.563
175,2.57254
176,2.55466
177,3.6478
178,2.57611
179,2.58803
180,2.63691
181,2.62499
182,2.57611
183,2.59638
184,2.60353
185,2.58327
186,2.60353
187,2.6083
188,2.57492
189,2.58565
190,2.56777
191,2.563
192,2.61903
193,2.57969
194,2.58088
195,2.57015
196,2.56896
197,2.57134
198,2.59161
199,2.55942
200,2.55823
201,2.61664
202,2.56658
203,2.59638
204,2.57373
205,2.58088
206,2.56538
207,2.59042
208,2.60711
209,2.64287
210,2.60472
211,2.53797
212,2.59519
213,2.59995
214,2.59876
215,2.57969
216,2.61188
217,2.62737
218,2.59995
219,2.60949
220,2.61784
221,2.59161
222,2.62141
223,2.62141
224,2.60949
225,2.61903
226,2.62022
227,2.59519
228,2.61426
229,2.60115
230,2.59995
231,2.64645
232,2.60115
233,2.61426
234,2.66314
235,2.64287
236,2.64764
237,2.64525
238,2.6226
239,2.6226
240,2.57134
241,2.61545
242,2.67029
243,2.62856
244,2.62856
245,2.56181
246,2.63453
247,2.60353
248,2.60949
249,2.61903
250,2.62141
251,2.59757
252,2.61545
253,2.63095
254,2.59876
255,2.62618
256,2.64883
257,2.63929
258,2.66552
259,2.65002
260,3.24011
261,3.2866
262,2.70128
263,2.69771
264,2.65956
265,2.70367
266,2.69294
267,2.69651
268,2.7144
269,2.67386
