x, y
50000,36.24439
100000,59.78584
150000,83.61578
200000,111.86719
250000,135.92482
300000,160.15053
350000,183.75516
400000,206.34294
450000,231.39
500000,255.85651
550000,279.88434
600000,303.99323
650000,324.03231
700000,349.80059
750000,378.72791
800000,396.57235
850000,420.87793
900000,443.60876
950000,467.51022
1000000,490.90385
1050000,520.60246
1100000,548.46764
1150000,574.53871
1200000,601.70174
1250000,638.96418
1300000,650.77066
1350000,675.48394
1400000,700.11139
1450000,740.08822
1500000,788.89132
1550000,822.17336
1600000,838.88054
1650000,864.48908
1700000,904.41704
1750000,952.88634
1800000,996.67907
1850000,1038.09595
1900000,1079.30899
1950000,1009.91011
2000000,1019.42062
2050000,1058.85625
2100000,1137.22324
2150000,1206.79259
2200000,1237.81681
2250000,1295.18509
2300000,1327.17133
2350000,1329.5269
2400000,1381.15764
2450000,1368.64781
2500000,1433.55846
2550000,1485.47649
2600000,1490.67163
2650000,1568.13264
2700000,1599.59555
2750000,1622.56122
2800000,1639.539
2850000,1676.43905
2900000,1676.74541
2950000,1764.32252
3000000,1698.43078
