x, y
5,2.36988
6,2.42949
7,2.3675
8,2.48313
9,2.41399
10,2.39015
11,2.48909
12,2.39491
13,2.41876
14,2.42352
15,2.39849
16,2.42233
17,2.45333
18,2.4116
19,2.44737
20,2.48432
21,2.42829
22,2.42829
23,2.46167
24,2.44021
25,2.43545
26,2.44379
27,2.44498
28,2.40803
29,2.37584
30,2.44379
31,2.4581
32,2.44617
33,2.44617
34,2.41876
35,2.40803
36,2.42472
37,2.42352
38,2.43306
39,2.38895
40,2.37226
41,2.40803
42,2.44617
43,2.43545
44,2.46882
45,2.40445
46,2.42591
47,2.47955
48,2.44617
49,2.45452
50,2.45452
51,2.42829
52,2.44021
53,2.45452
54,2.44856
55,2.41756
56,2.45094
57,2.4116
58,2.40445
59,2.48551
60,2.43783
61,2.44021
62,2.47359
63,2.42949
64,2.49743
65,2.41876
66,2.45094
67,2.46406
68,2.47717
69,2.44379
70,2.4724
71,2.47478
72,2.4569
73,2.46525
74,2.5034
75,2.46167
76,2.4569
77,2.46763
78,2.44617
79,2.48075
80,2.47478
81,2.45571
82,2.46286
83,2.48313
84,2.4581
85,2.4569
86,2.46167
87,2.49624
88,2.44498
89,2.96593
90,3.016
91,2.4879
92,2.49982
93,2.54035
94,2.49624
95,2.40684
96,2.50578
97,2.49028
98,2.48432
99,2.48313
100,2.47598
101,2.49982
102,2.44021
103,2.45571
104,2.4271
105,2.48432
106,2.47955
107,2.47121
108,2.49505
109,2.48194
110,2.48432
111,2.4879
112,2.41876
113,2.49624
114,2.49982
115,2.41876
116,2.5177
117,2.44737
118,2.47478
119,2.45571
120,2.47002
121,2.47478
122,2.46763
123,2.48432
124,2.48194
125,2.50101
126,2.47121
127,2.46048
128,2.51055
129,2.44975
130,2.50697
131,2.54035
132,2.50459
133,2.50459
134,2.49147
135,2.45094
136,2.50101
137,2.49863
138,2.49267
139,2.50697
140,2.49982
141,2.43187
142,2.51889
143,2.50816
144,2.52843
145,2.51889
146,2.51412
147,2.49743
148,2.55227
149,2.51412
150,2.50578
151,2.54631
152,2.54154
153,2.47359
154,2.49743
155,2.52962
156,2.48909
157,2.49982
158,2.52247
159,2.54035
160,2.53081
161,2.54989
162,2.49982
163,2.50101
164,2.50578
165,2.47598
166,2.51651
167,2.51293
168,2.54631
169,2.52485
170,2.53677
171,2.44975
172,2.5475
173,2.55227
174,2.53558
175,2.55227
176,3.71337
177,2.51293
178,2.50816
179,2.55704
180,2.49863
181,2.58684
182,2.52962
183,2.5332
184,2.56777
185,2.53677
186,2.57015
187,2.55704
188,2.52962
189,2.53677
190,2.48551
191,2.51532
192,2.51532
193,2.53916
194,2.55585
195,2.53797
196,2.51293
197,2.52485
198,2.5177
199,2.54273
200,2.51889
201,2.58446
202,2.54035
203,2.54512
204,2.58327
205,2.54393
206,2.51889
207,2.54869
208,2.55942
209,2.53081
210,2.54393
211,2.57015
212,2.52247
213,2.55942
214,2.55823
215,2.54989
216,2.54512
217,2.49147
218,2.58088
219,2.53439
220,2.52604
221,2.58088
222,2.58327
223,2.53558
224,2.58803
225,2.55227
226,2.57492
227,2.5773
228,2.50936
229,2.57492
230,2.57015
231,2.56658
232,2.60115
233,2.50578
234,2.57373
235,2.59399
236,2.59876
237,2.58088
238,2.57969
239,2.57611
240,2.58803
241,2.54869
242,2.56777
243,2.54393
244,2.5773
245,2.5773
246,2.57373
247,2.57969
248,2.54869
249,2.59519
250,2.57611
251,2.61188
252,2.56538
253,2.52008
254,2.58207
255,2.55227
256,2.56062
257,2.64883
258,2.58684
259,2.62976
260,2.75135
261,3.62635
262,2.67625
263,2.65718
264,2.65837
265,2.65837
266,2.6381
267,2.66433
268,2.62499
269,2.6834
270,2.67386
271,2.70486
272,2.65002
273,2.67386
274,2.64645
275,2.67744
276,2.64645
277,2.65718
278,2.62856
279,2.65479
280,2.63572
281,2.69651
282,2.65837
283,2.66314
284,2.67029
285,2.65121
286,2.67863
287,2.61664
288,2.65241
289,2.6834
290,2.63453
291,2.60234
292,2.73228
293,2.67744
294,2.69651
295,2.66314
296,2.64168
297,2.70009
298,2.69532
299,2.67267
300,2.62141
301,2.6536
302,2.67506
303,2.67148
304,2.61545
305,2.68459
306,2.71201
307,2.67863
308,2.65241
309,2.65598
310,2.64764
311,2.67148
312,2.65718
313,2.66075
314,2.69532
315,2.67386
316,2.72989
317,2.64168
318,2.71678
319,2.70605
320,2.68579
321,2.66194
322,2.66314
323,2.70009
324,2.70724
325,2.64287
326,2.70247
327,2.71201
328,2.68221
329,2.74897
330,2.69771
331,2.7132
332,2.71797
333,2.72274
334,2.69175
335,2.73824
336,2.67148
337,2.73228
338,2.68936
339,2.64645
340,2.70486
341,2.67863
342,3.97444
343,2.71916
344,2.69532
345,2.71797
346,2.73108
347,2.75731
348,2.72274
349,2.75731
350,2.74777
351,2.70605
352,2.69532
353,2.73108
354,2.69651
355,2.72274
356,2.69175
357,2.72036
358,2.7144
359,2.68102
360,2.71797
361,2.66433
362,2.72036
363,2.70367
364,2.71201
365,2.70367
366,2.7144
367,2.67386
368,2.70844
369,2.774
370,2.69651
371,2.7287
372,2.68221
373,2.69413
374,2.63572
375,2.68102
376,2.67863
377,2.67863
378,2.6989
379,2.67982
380,2.70367
381,2.68102
382,2.67744
383,2.68936
384,2.73466
385,2.70247
386,2.65002
387,2.75493
388,2.72632
389,2.73466
390,2.7132
391,2.74539
392,2.70724
393,2.73585
394,2.75373
395,2.7597
396,2.6834
397,2.71678
398,2.66314
399,2.72512
400,2.7287
401,2.71916
402,2.6679
403,2.73466
404,2.69771
405,2.69175
406,2.74181
407,2.70367
408,2.73108
409,2.66433
410,2.7442
411,2.76566
412,2.7132
413,2.64287
414,2.70844
415,2.71916
416,2.72632
417,2.68579
418,2.73585
419,2.75493
420,2.70247
421,2.68221
422,4.06504
423,2.77877
424,2.85745
425,2.79427
426,2.79069
427,2.73228
428,2.78473
429,2.74777
430,2.77042
431,2.77162
432,2.71201
433,2.71916
434,2.72274
435,2.7442
436,2.68102
437,2.77519
438,2.7442
439,2.78592
440,2.74777
441,2.72393
442,2.74777
443,2.75373
444,2.72036
445,2.73943
446,2.72393
447,2.7144
448,2.74181
449,2.74539
450,2.7287
451,2.72989
452,2.78831
453,2.76327
454,2.75135
455,2.79903
456,2.74658
457,2.78592
458,2.73943
459,2.75731
460,2.77758
461,2.76327
462,2.76208
463,2.79188
464,2.79307
465,2.78592
466,2.75493
467,2.74658
468,2.73585
469,2.76804
470,2.81334
471,2.78354
472,2.72512
473,2.76208
474,2.79784
475,2.73585
476,2.77996
477,2.80261
478,2.82288
479,2.70367
480,2.79546
481,2.84433
482,2.77042
483,2.81453
484,2.76327
485,2.75731
486,2.80499
487,2.77042
488,2.78711
489,2.7287
490,2.78711
491,2.77638
492,2.78711
493,2.80261
494,2.77996
495,2.7442
496,2.7442
497,2.81334
498,2.7895
499,2.73228
500,3.90649
