x, y
50000,35.85458
100000,60.58693
150000,83.65512
200000,112.33449
250000,135.84971
300000,159.43646
350000,183.04706
400000,206.18439
450000,228.56712
500000,254.42123
550000,277.86613
600000,300.69828
650000,324.52464
700000,349.36666
750000,376.34373
800000,395.59007
850000,419.76094
900000,443.0306
950000,467.55552
1000000,494.01402
1050000,519.90747
1100000,544.34657
1150000,569.77987
1200000,600.57759
1250000,635.2067
1300000,642.19832
1350000,670.84908
1400000,704.24318
1450000,731.74477
1500000,772.00055
1550000,800.47369
1600000,895.14613
1650000,877.20871
1700000,922.00637
1750000,955.80816
1800000,997.97964
1850000,1031.44765
1900000,1050.36855
1950000,1027.93932
2000000,1090.00444
2050000,1126.48249
2100000,1175.96984
2150000,1226.53484
2200000,1265.47098
2250000,1314.72588
2300000,1271.63649
2350000,1356.32992
2400000,1378.80325
2450000,1450.95468
2500000,1420.56227
2550000,1423.45428
2600000,1500.42772
2650000,1547.75739
2700000,1571.61951
2750000,1589.15281
2800000,1641.48092
2850000,1678.04599
2900000,1713.63831
2950000,1750.7863
3000000,1777.42243
