x, y
5,2.44856
6,2.40922
7,2.49863
8,2.3818
9,2.40445
10,2.40684
11,2.22325
12,2.34246
13,2.42114
14,2.29359
15,2.41637
16,2.42114
17,2.41518
18,2.41756
19,2.47359
20,2.29239
21,2.35081
22,2.33293
23,2.2769
24,2.31028
25,2.29597
26,2.30551
27,2.30432
28,2.2471
29,2.36988
30,2.2769
31,2.30789
32,2.41399
33,2.45452
34,2.32458
35,2.29836
36,2.36511
37,2.28882
38,2.37465
39,2.33173
40,2.29955
41,2.32458
42,2.32339
43,2.45333
44,2.3365
45,2.37584
46,2.34723
47,2.31504
48,2.32458
49,2.32816
50,2.27332
51,2.26259
52,2.47598
53,2.36511
54,2.35677
55,2.43664
56,2.53201
57,2.42472
58,2.45214
59,2.37465
60,2.28882
61,2.43783
62,2.30551
63,2.3365
64,2.43425
65,2.4426
66,2.35558
67,2.42829
68,2.41995
69,2.31981
70,2.35796
71,2.47478
72,2.49267
73,2.44141
74,2.56062
75,2.51651
76,2.54512
77,2.52604
78,2.49028
79,2.43783
80,2.49028
81,2.4879
82,2.49505
83,2.45214
84,2.44856
85,2.44856
86,2.46763
87,2.51889
88,2.46406
89,2.48671
90,2.50697
91,2.41041
92,2.34365
93,2.3675
94,2.37226
95,2.36869
96,2.42233
97,2.37703
98,2.29239
99,2.43664
100,2.44379
101,2.27213
102,2.46048
103,2.43783
104,2.37226
105,2.45333
106,2.38538
107,2.34485
108,2.4128
109,2.45094
110,2.4116
111,2.33412
112,2.34723
113,2.38299
114,2.43306
115,2.42114
116,2.41995
117,2.36392
118,2.32697
119,2.35677
120,2.38776
121,2.35438
122,2.37465
123,2.3675
124,2.352
125,2.34485
126,2.3222
127,2.36273
128,2.38538
129,2.37703
130,2.31504
131,2.40445
132,2.40803
133,2.34365
134,2.38299
135,2.43902
136,2.52008
137,2.35319
138,2.34365
139,2.38657
140,2.40326
141,2.35796
142,2.38657
143,2.41637
144,2.48313
145,2.47478
146,2.51532
147,2.5177
148,2.43902
149,2.38061
150,2.36154
151,2.48432
152,2.55346
153,2.37703
154,2.38895
155,2.38419
156,2.41399
157,2.38895
158,2.4581
159,2.48194
160,2.4724
161,2.43902
162,2.37703
163,2.42352
164,2.65598
165,2.5475
166,2.563
167,2.5773
168,2.54512
169,2.59638
170,2.49863
171,2.5332
172,2.50578
173,2.56419
174,2.56538
175,2.55466
176,2.53916
177,2.37703
178,2.44498
179,2.50578
180,2.42591
181,2.4581
182,2.39372
183,2.38061
184,2.41399
185,2.3818
186,2.3818
187,2.4581
188,2.37823
189,2.36511
190,2.40803
191,2.43425
192,2.38657
193,2.40684
194,2.37584
195,2.3663
196,2.41399
197,2.40088
198,2.40922
199,2.47598
200,2.43068
201,2.41876
202,2.54512
203,2.47717
204,2.42114
205,2.38299
206,2.41995
207,2.47478
208,2.36869
209,2.45333
210,2.43783
211,2.44617
212,2.39968
213,2.41041
214,2.40922
215,2.44856
216,2.39611
217,2.43664
218,2.42233
219,2.40564
220,2.37107
221,2.40564
222,2.40088
223,2.41876
224,2.41995
225,2.44856
226,2.56181
227,2.49386
228,2.41876
229,2.44141
230,2.46644
231,2.4569
232,2.49624
233,2.42829
234,2.41756
235,2.40684
236,2.45333
237,2.43068
238,2.37584
239,2.41041
240,2.39015
241,2.41399
242,2.43783
243,2.39611
244,2.45333
245,2.55823
246,2.62856
247,2.5773
248,2.62499
249,2.56896
250,2.50459
251,2.5034
252,2.59876
253,2.61307
254,2.65002
255,2.52247
256,2.62618
257,2.61545
258,2.64883
259,2.66433
260,2.60592
261,2.62022
262,2.65718
263,2.63691
264,2.65956
265,2.64525
266,2.51174
267,2.46167
268,2.66314
269,2.52247
270,2.52962
271,2.49028
272,2.48432
273,2.57611
274,2.61784
275,2.55823
276,2.58684
277,2.66194
278,2.48194
279,2.4724
280,2.46644
281,2.53081
282,2.59876
283,2.51412
284,2.57015
285,2.52128
286,2.46763
287,2.52962
288,2.47359
289,2.49624
290,2.54869
291,2.48432
292,2.54989
293,2.50101
294,2.53677
295,2.54989
296,2.51174
297,2.5332
298,2.47002
299,2.49863
300,2.52843
301,2.54154
302,2.47717
303,2.53677
304,2.58565
305,2.5022
306,2.5177
307,2.59519
308,2.51174
309,2.62856
310,2.55466
311,2.55466
312,2.51412
313,2.65598
314,2.62022
315,2.57134
316,2.52724
317,2.50936
318,2.56538
319,2.56777
320,2.51889
321,2.46882
322,2.51532
323,2.62976
324,2.64525
325,2.52724
326,2.57611
327,2.50101
328,2.52604
329,2.52247
330,2.68817
331,2.57254
332,2.60592
333,2.50578
334,2.52843
335,2.61426
336,2.59638
337,2.75254
338,2.76446
339,2.67267
340,2.64883
341,2.67267
342,2.66314
343,2.73585
344,2.69055
345,2.58088
346,2.71201
347,2.63333
348,2.67029
349,2.66075
350,2.67506
351,2.70486
352,2.72393
353,2.72989
354,2.68936
355,2.67744
356,2.69175
357,2.67625
358,2.69294
359,2.5034
360,2.50459
361,2.54631
362,2.55823
363,2.55227
364,2.56181
365,2.51651
366,2.54273
367,2.52008
368,2.5332
369,2.54631
370,2.52962
371,2.54273
372,2.56538
373,2.61903
374,2.56062
375,2.53558
376,2.62022
377,2.56062
378,2.60234
379,2.52843
380,2.59638
381,2.61784
382,2.57969
383,2.55346
384,2.56062
385,2.55823
386,2.57492
387,2.77877
388,2.56777
389,2.59399
390,2.54512
391,2.5785
392,2.5785
393,2.60472
394,2.57969
395,2.60234
396,2.54393
397,2.60949
398,2.65479
399,2.74897
400,2.70724
401,2.52485
402,2.57969
403,2.61664
404,2.59995
405,2.53439
406,2.60234
407,2.5785
408,2.53797
409,2.55823
410,2.53916
411,2.5785
412,2.59042
413,2.58207
414,2.58088
415,2.5928
416,2.61903
417,2.59757
418,2.55227
419,2.71678
420,2.73705
421,2.73347
422,2.75016
423,2.77877
424,2.70367
425,2.72751
426,2.76446
427,2.73705
428,2.76208
429,2.7287
430,2.78473
431,2.69651
432,2.6834
433,2.74062
434,2.72036
435,2.76923
436,2.67506
437,2.69055
438,2.7585
439,2.71082
440,2.6679
441,2.74062
442,2.76089
443,2.73466
444,2.6381
445,2.67386
446,2.72155
447,2.72512
448,2.72512
449,2.75731
450,2.76923
451,2.67625
452,2.67029
453,2.76923
454,2.73347
455,2.6679
456,2.7144
457,2.77042
458,2.7132
459,2.74658
460,2.79069
461,2.72989
462,2.77996
463,2.6679
464,2.73347
465,2.72989
466,2.71678
467,2.80976
468,2.77519
469,2.77877
470,2.72155
471,2.7585
472,2.69771
473,2.74062
474,2.73705
475,2.75612
476,2.77877
477,2.68102
478,2.75612
479,2.73824
480,2.74539
481,2.76923
482,2.77281
483,2.8193
484,2.70963
485,2.73347
486,2.76804
487,2.76923
488,2.70247
489,2.78115
490,2.76685
491,2.80023
492,2.78234
493,2.73466
494,2.72989
495,2.69771
496,2.86579
497,2.7442
498,2.66075
499,3.9959
500,2.82049
