x, y
50000,29.92868
100000,55.11999
150000,79.59127
200000,105.00431
250000,128.46231
300000,151.90244
350000,177.04368
400000,202.1122
450000,230.79276
500000,249.54677
550000,276.12567
600000,299.5193
650000,325.62494
700000,348.97804
750000,377.04468
800000,400.10095
850000,427.18291
900000,461.56049
950000,490.5653
1000000,520.75386
1050000,539.50429
1100000,558.30717
1150000,587.55517
1200000,617.33246
1250000,626.31488
1300000,659.96528
1350000,691.14208
1400000,722.83268
1450000,750.86474
1500000,779.74796
1550000,820.00494
1600000,855.76177
1650000,921.19455
1700000,919.91305
1750000,904.78778
1800000,956.9788
1850000,988.47151
1900000,1021.60931
1950000,1039.68382
2000000,1037.08506
2050000,1057.59621
2100000,1101.64165
2150000,1120.64958
2200000,1188.98153
2250000,1226.92943
2300000,1207.17883
2350000,1242.77234
2400000,1296.65494
2450000,1280.77269
2500000,1341.15219
2550000,1434.73506
2600000,1554.22211
2650000,1722.6088
2700000,1729.213
2750000,1645.52093
2800000,1764.642
2850000,1783.94437
2900000,1752.50411
2950000,1778.66101
3000000,1777.82178
