x, y
5,1.92761
6,1.88708
7,1.95742
8,1.93357
9,1.86086
10,1.93834
11,1.95026
12,1.87993
13,2.00868
14,2.01702
15,1.93
16,1.99676
17,1.92881
18,1.95861
19,1.98364
20,2.1112
21,2.00033
22,1.98603
23,1.97768
24,2.01464
25,1.98603
26,2.01225
27,2.0349
28,1.99437
29,2.04325
30,2.02775
31,2.06709
32,2.0647
33,2.04563
34,2.03729
35,2.05517
36,2.14219
37,2.19584
38,2.07901
39,2.02656
40,2.07067
41,2.07901
42,2.13265
43,2.07543
44,2.10524
45,2.14696
46,2.12193
47,2.09808
48,2.12669
49,2.13861
50,2.13861
51,2.12908
52,2.16365
53,2.21372
54,2.12908
55,2.12073
56,2.11
57,2.14338
58,2.18153
59,2.19822
60,2.14815
61,2.19226
62,2.13861
63,2.15411
64,2.19226
65,2.18511
66,2.16246
67,2.19703
68,2.27928
69,2.3222
70,2.20537
71,2.16722
72,2.17438
73,2.20299
74,2.22683
75,2.2018
76,2.29836
77,2.31504
78,2.31385
79,2.27094
80,2.23756
81,2.20776
82,2.21968
83,2.21372
84,2.34365
85,2.31385
86,2.26736
87,2.2316
88,2.2316
89,2.23517
90,2.61784
91,2.43783
92,2.4271
93,2.42829
94,2.4116
95,2.38776
96,2.33769
97,2.39491
98,2.42114
99,2.44021
100,2.39372
101,2.28763
102,2.4128
103,2.33173
104,2.29836
105,2.26855
106,2.25425
107,2.3067
108,2.28047
109,2.28167
110,2.27928
111,2.41756
112,2.33054
113,2.30312
114,2.42233
115,2.40326
116,2.28405
117,2.32458
118,2.28405
119,2.28167
120,2.31147
121,2.33173
122,2.40922
123,2.39015
124,2.31266
125,2.321
126,2.33173
127,2.32697
128,2.34246
129,2.41518
130,2.44498
131,2.35915
132,2.34723
133,2.38657
134,2.38419
135,2.38895
136,2.35438
137,2.44617
138,2.50697
139,2.36988
140,2.36988
141,2.42233
142,2.40326
143,2.39849
144,2.42949
145,2.4128
146,2.3973
147,2.41995
148,2.39968
149,2.38299
150,2.49624
151,2.40564
152,2.55466
153,2.56062
154,2.4128
155,2.39968
156,2.45094
157,2.39015
158,2.44021
159,2.5177
160,2.58446
161,2.41399
162,2.40922
163,2.42472
164,2.45452
165,2.4271
166,2.43783
167,2.49743
168,2.46525
169,2.44975
170,2.38657
171,2.44737
172,2.47598
173,2.4569
174,2.57611
175,2.48075
176,2.47598
177,2.44737
178,2.47359
179,2.44975
180,2.48313
181,2.64406
182,2.68936
183,2.6238
184,2.64406
185,2.67744
186,2.60592
187,2.62141
188,2.64168
189,2.53558
190,2.51651
191,2.57373
192,2.5475
193,2.51293
194,2.62737
195,2.48194
196,2.50101
197,2.69175
198,2.51889
199,2.55466
200,2.64764
201,2.48075
202,2.55942
203,2.67625
204,2.55704
205,2.61784
206,2.65598
207,2.50459
208,2.60949
209,2.59519
210,2.54035
211,2.52843
212,2.52962
213,2.49267
214,2.52724
215,2.49624
216,2.5022
217,2.64883
218,2.5475
219,2.53201
220,2.52128
221,2.49624
222,2.56538
223,2.53797
224,2.5475
225,2.57492
226,2.5475
227,2.55346
228,2.55585
229,2.49505
230,2.57492
231,2.65718
232,2.67744
233,2.5928
234,2.55704
235,2.53916
236,2.56181
237,2.56181
238,2.55942
239,2.55227
240,2.57373
241,2.55823
242,2.5773
243,2.55346
244,2.53916
245,2.58565
246,2.68579
247,2.52843
248,2.60711
249,2.54035
250,2.53081
251,2.58207
252,2.55346
253,2.54989
254,2.61784
255,2.55942
256,2.60234
257,2.56538
258,2.60711
259,2.63453
260,2.7585
261,2.64883
262,2.63929
263,2.62737
264,2.63214
265,2.64287
266,2.61426
267,2.77758
268,2.90394
269,2.82884
270,2.80619
271,2.86579
272,2.81572
273,2.88486
274,2.77996
275,2.85983
276,2.84076
277,2.72274
278,2.69055
279,2.83599
280,2.83599
281,2.69175
282,2.87175
283,2.64168
284,2.73824
285,2.79784
286,2.6834
287,2.83003
288,2.71201
289,2.69175
290,2.84076
291,2.74181
292,2.7442
293,2.79784
294,2.70009
295,2.84433
296,2.71916
297,2.72512
298,2.86102
299,2.76923
300,2.77758
301,2.85149
302,2.68102
303,2.70247
304,2.69294
305,2.75135
306,2.73228
307,2.69532
308,2.72512
309,2.77996
310,2.73466
311,2.80857
312,2.73943
313,2.7132
314,2.83599
315,2.88606
316,2.83957
317,2.71559
318,2.82645
319,2.73228
320,2.73466
321,2.80499
322,2.72512
323,2.81453
324,2.71678
325,2.82288
326,2.71797
327,2.87056
328,2.89917
329,2.78354
330,2.74777
331,2.80499
332,2.7442
333,2.82884
334,2.7132
335,2.82407
336,2.74658
337,2.79903
338,2.74301
339,2.84314
340,2.73108
341,2.89917
342,2.8336
343,2.78354
344,2.73466
345,2.8348
346,2.74539
347,2.82288
348,2.90275
349,2.89559
350,2.95162
351,3.05891
352,2.93732
353,3.06606
354,2.98977
355,3.00407
356,2.9552
357,3.01003
358,2.94805
359,2.97427
360,2.94089
361,3.00288
362,2.99096
363,2.89083
364,2.99573
365,2.91824
366,2.85983
367,2.88486
368,2.93612
369,2.77996
370,2.94924
371,2.87294
372,2.86102
373,3.07918
374,2.96116
375,2.95997
376,2.81334
377,2.82645
378,2.85506
379,2.81453
380,2.94566
381,2.96235
382,2.90275
383,2.78473
384,2.80738
385,2.89679
386,2.82288
387,2.97546
388,2.86102
389,2.87771
390,2.83599
391,2.88844
392,2.81453
393,2.93493
394,2.91467
395,2.8801
396,2.83957
397,2.78831
398,2.8789
399,2.82764
400,2.89202
401,2.82049
402,2.88129
403,2.82764
404,2.82168
405,2.88129
406,2.85149
407,2.88606
408,2.83241
409,2.93732
410,2.84433
411,2.88486
412,2.83957
413,2.92182
414,2.84314
415,2.92897
416,2.84076
417,2.90275
418,2.82407
419,2.84076
420,3.03745
421,2.93732
422,2.83599
423,2.88725
424,2.84195
425,2.91348
426,2.84672
427,2.94447
428,2.87771
429,2.91824
430,3.09229
431,3.11971
432,3.07798
433,3.26276
434,2.97189
435,3.1209
436,3.06368
437,3.02315
438,3.07918
439,3.04699
440,3.14236
441,2.9707
442,2.91228
443,2.98977
444,3.08156
445,2.88367
446,3.10898
447,2.84076
448,2.90632
449,2.88486
450,2.89798
451,2.94089
452,2.87175
453,2.99096
454,3.00646
455,2.96354
456,2.85387
457,2.96116
458,2.9242
459,3.15309
460,2.89798
461,2.97785
462,2.87652
463,2.86698
464,3.07083
465,3.06487
466,3.13878
467,3.02792
468,2.95877
469,2.96354
470,2.96712
471,2.90632
472,3.04341
473,2.94924
474,2.97546
475,2.92182
476,2.99573
477,3.01957
478,2.99811
479,2.86937
480,2.92778
481,2.94328
482,2.99096
483,2.85506
484,3.06129
485,3.01719
486,2.97189
487,2.94089
488,2.89083
489,2.98619
490,3.01242
491,2.94685
492,2.9397
493,2.96831
494,3.00884
495,2.985
496,3.10659
497,3.06845
498,3.06964
499,3.02434
500,3.00169
