x, y
50000,32.40705
100000,57.17754
150000,84.86152
200000,110.3735
250000,137.99667
300000,164.52312
350000,193.61496
400000,217.37814
450000,241.27841
500000,269.09828
550000,294.91186
600000,321.10214
650000,348.2151
700000,374.06206
750000,401.42536
800000,426.80383
850000,455.57499
900000,478.99842
950000,505.09691
1000000,533.06818
1050000,557.64675
1100000,585.32357
1150000,609.83896
1200000,640.15627
1250000,672.53113
1300000,702.53253
1350000,729.28786
1400000,761.17516
1450000,787.18901
1500000,807.06835
1550000,862.54478
1600000,897.95113
1650000,933.94041
1700000,964.06817
1750000,1020.86902
1800000,1042.05847
1850000,1085.8357
1900000,1107.24926
1950000,1135.35643
2000000,1141.89625
2050000,1190.16767
2100000,1193.55917
2150000,1234.42292
2200000,1268.16034
2250000,1303.56789
2300000,1328.42422
2350000,1356.0164
2400000,1353.1816
2450000,1395.92648
2500000,1407.89866
2550000,1498.77906
2600000,1520.34879
2650000,1468.05525
2700000,1451.15614
2750000,1485.0378
2800000,1549.40367
2850000,1548.27833
2900000,1570.11628
2950000,1603.66058
3000000,1610.09908
