x, y
5,1.85728
6,1.9145
7,1.93238
8,1.96934
9,1.97887
10,1.99437
11,2.03013
12,2.01464
13,2.06828
14,2.04563
15,2.07424
16,2.09451
17,2.05874
18,2.07782
19,2.13861
20,2.12669
21,2.10166
22,2.15888
23,2.13504
24,2.15054
25,2.13981
26,2.17199
27,2.15411
28,2.19822
29,2.19822
30,2.21014
31,2.22445
32,2.2316
33,2.19464
34,2.26378
35,2.19822
36,2.23637
37,2.24113
38,2.24233
39,2.22564
40,2.26855
41,2.24352
42,2.2912
43,2.30193
44,2.3067
45,2.29001
46,2.34008
47,2.32816
48,2.31862
49,2.34842
50,2.33412
51,2.34008
52,2.33293
53,2.31147
54,2.33412
55,2.43306
56,2.37346
57,2.28286
58,2.25663
59,2.23756
60,2.23756
61,2.23041
62,2.25425
63,2.33173
64,2.40445
65,2.25782
66,2.27094
67,2.34485
68,2.33769
69,2.29239
70,2.22802
71,2.27928
72,2.27809
73,2.28882
74,2.36034
75,2.44379
76,2.2769
77,2.29001
78,2.30312
79,2.35081
80,2.32816
81,2.3222
82,2.43187
83,2.40922
84,2.44141
85,2.30074
86,2.31624
87,2.3067
88,2.34246
89,2.85745
90,2.46167
91,2.48194
92,2.59757
93,2.48313
94,2.50816
95,2.49267
96,2.5785
97,2.55227
98,2.43545
99,2.47598
100,2.39491
101,2.35438
102,2.34604
103,2.41995
104,2.43783
105,2.42472
106,2.41876
107,2.4724
108,2.46167
109,2.40445
110,2.49743
111,2.46882
112,2.38657
113,2.51651
114,2.40803
115,2.4271
116,2.52008
117,2.47359
118,2.4581
119,2.55585
120,2.40088
121,2.44856
122,2.54273
123,2.39849
124,2.42949
125,2.57492
126,2.57492
127,2.49505
128,2.39015
129,2.40564
130,2.48075
131,2.44975
132,2.41876
133,2.52366
134,2.50936
135,2.42829
136,2.49147
137,2.4271
138,2.48194
139,2.46644
140,2.50101
141,2.55704
142,2.52962
143,2.5177
144,2.46167
145,2.51293
146,2.60353
147,2.61784
148,2.65837
149,2.53558
150,2.47598
151,2.48551
152,2.47955
153,2.51174
154,2.52366
155,2.47478
156,2.53558
157,2.51532
158,2.49624
159,2.5177
160,2.52366
161,2.52247
162,2.53677
163,2.51055
164,2.52485
165,2.58446
166,2.52008
167,2.49743
168,2.50459
169,2.51174
170,2.54512
171,2.72989
172,2.49863
173,2.54869
174,2.57373
175,2.59161
176,2.57015
177,3.03507
178,2.73705
179,2.6989
180,2.76327
181,2.69771
182,2.73705
183,2.72632
184,2.67267
185,2.6989
186,2.65837
187,2.60115
188,2.74897
189,2.67982
190,2.61903
191,2.68817
192,2.52366
193,2.55704
194,2.55346
195,2.58803
196,2.70247
197,2.69771
198,2.58803
199,2.58684
200,2.54631
201,2.60353
202,2.64168
203,2.59161
204,2.62022
205,2.76566
206,2.68936
207,2.58565
208,2.59519
209,2.59995
210,2.63214
211,2.55942
212,2.78115
213,2.67386
214,2.57969
215,2.64764
216,2.62856
217,2.60234
218,2.65241
219,2.77042
220,2.5785
221,2.64764
222,2.62976
223,2.66552
224,2.63691
225,2.62976
226,2.79784
227,2.68579
228,2.59876
229,2.63333
230,2.76923
231,2.8348
232,2.72274
233,2.81692
234,2.83837
235,2.78473
236,2.80023
237,2.8348
238,2.77758
239,2.80261
240,2.80619
241,2.80738
242,2.78354
243,2.79903
244,2.77042
245,2.82168
246,2.79784
247,2.89321
248,2.80976
249,2.78711
250,2.81096
251,2.87175
252,2.67267
253,2.64764
254,2.64287
255,2.65241
256,2.69771
257,2.66194
258,2.70247
259,2.83003
260,2.8336
261,3.30806
262,2.90394
263,2.90632
264,2.95997
265,2.9242
266,2.92659
267,2.94805
268,2.75254
269,2.86698
270,2.87652
271,2.83122
272,2.83718
273,2.98023
274,2.7442
275,2.73943
276,2.75016
277,2.78831
278,2.78354
279,2.77877
280,2.77758
281,2.80976
282,2.80142
283,2.85864
284,2.7597
285,2.774
286,2.78592
287,2.78473
288,2.87771
289,2.80142
290,2.77877
291,2.82288
292,2.74181
293,2.90513
294,2.86579
295,2.83599
296,3.20196
297,4.31657
298,4.41432
299,4.42266
300,4.23908
301,3.12686
302,3.08514
303,3.09467
304,3.016
305,2.93612
306,2.77638
307,2.77996
308,2.77758
309,2.95639
310,3.0005
311,2.83957
312,2.83837
313,2.82407
314,2.81096
315,2.86698
316,2.80619
317,2.80857
318,2.84433
319,2.84195
320,2.80261
321,2.79427
322,2.8646
323,2.94089
324,2.85625
325,2.84314
326,2.84195
327,2.85387
328,2.85745
329,2.87056
330,2.94685
331,2.85029
332,2.88367
333,2.88367
334,2.84195
335,2.87175
336,3.01123
337,2.94805
338,3.40343
339,3.06726
340,3.00169
341,3.12448
342,3.09944
343,3.07441
344,3.01719
345,2.84076
346,3.02553
347,2.94924
348,2.90155
349,2.86341
350,2.81215
351,2.96712
352,3.08871
353,2.84314
354,3.07798
355,2.9099
356,2.90513
357,2.94924
358,2.86102
359,2.88248
360,2.87294
361,2.95043
362,2.95758
363,2.89917
364,2.87175
365,2.93016
366,2.87414
367,2.93374
368,2.91705
369,2.90632
370,2.94685
371,2.87533
372,2.89083
373,2.89202
374,2.96474
375,3.06368
376,2.92182
377,2.96593
378,2.90275
379,2.94209
380,2.93493
381,2.97308
382,2.97427
383,2.90751
384,2.93493
385,2.96116
386,2.91109
387,2.9242
388,3.01957
389,3.08871
390,2.94447
391,3.06726
392,3.02911
393,2.95043
394,2.97666
395,2.93255
396,2.96712
397,2.9099
398,2.98858
399,2.94805
400,3.0005
401,3.03626
402,2.95997
403,2.93016
404,2.985
405,2.92063
406,2.97427
407,2.99931
408,3.0899
409,3.07322
410,2.98023
411,3.01957
412,2.92897
413,2.98142
414,3.10421
415,2.95877
416,2.96354
417,3.4821
418,3.1364
419,3.16978
420,3.19481
421,3.13759
422,3.17812
423,3.0899
424,3.13044
425,3.16381
426,3.10898
427,3.12328
428,3.0303
429,2.95877
430,2.96354
431,3.10779
432,2.98023
433,3.03626
434,3.00765
435,3.03864
436,2.96712
437,3.02792
438,3.08037
439,3.15309
440,2.985
441,2.95997
442,2.99215
443,2.94924
444,2.95877
445,2.96235
446,3.05533
447,2.95281
448,3.03507
449,2.96116
450,2.98023
451,3.00884
452,2.99931
453,2.985
454,2.99454
455,3.02315
456,3.016
457,3.00527
458,2.97427
459,3.05891
460,3.02196
461,2.98142
462,3.00407
463,2.98858
464,3.20554
465,2.98381
466,3.0458
467,2.99335
468,2.97308
469,3.01123
470,2.97904
471,2.9707
472,2.98023
473,3.0756
474,3.02434
475,2.99692
476,3.09587
477,3.17931
478,3.00884
479,2.99215
480,3.05295
481,3.00765
482,3.04461
483,3.16978
484,3.02792
485,3.10779
486,3.02911
487,3.03388
488,3.0303
489,3.11494
490,3.18766
491,2.98858
492,3.02672
493,3.3319
494,3.25322
495,3.27587
496,3.2711
497,3.24845
498,3.15547
499,3.23296
500,3.17216
