x, y
50000,30.5593
100000,58.80237
150000,83.68731
200000,107.42426
250000,137.27069
300000,162.82439
350000,187.44469
400000,215.20853
450000,234.82919
500000,264.03904
550000,293.504
600000,316.50305
650000,342.33093
700000,369.60721
750000,396.66176
800000,421.17476
850000,448.47608
900000,477.85163
950000,499.65978
1000000,525.09785
1050000,550.41432
1100000,580.76859
1150000,602.12135
1200000,634.05395
1250000,666.69941
1300000,691.03718
1350000,709.78761
1400000,742.08617
1450000,766.8376
1500000,800.40455
1550000,829.41771
1600000,854.00105
1650000,884.31716
1700000,924.99375
1750000,950.9325
1800000,969.34915
1850000,1019.7258
1900000,1008.68464
1950000,1037.66322
2000000,1089.70761
2050000,1105.39556
2100000,1156.31819
2150000,1195.79434
2200000,1232.23782
2250000,1267.59648
2300000,1293.99061
2350000,1326.04837
2400000,1347.22471
2450000,1369.01259
2500000,1393.40401
2550000,1427.14143
2600000,1459.45668
2650000,1478.5862
2700000,1517.63797
2750000,1561.43904
2800000,1581.18963
2850000,1599.07341
2900000,1644.45996
2950000,1669.74545
3000000,1708.97245
