x, y
50000,31.11124
100000,56.24294
150000,78.60899
200000,108.51979
250000,129.73666
300000,154.46901
350000,177.32739
400000,199.6088
450000,223.47569
500000,247.29371
550000,270.80178
600000,295.07756
650000,319.26036
700000,342.592
750000,365.79251
800000,394.12975
850000,414.04963
900000,436.24878
950000,461.57122
1000000,484.80392
1050000,506.60133
1100000,533.2911
1150000,563.24363
1200000,585.52384
1250000,610.34322
1300000,642.94457
1350000,667.18817
1400000,694.9687
1450000,728.38545
1500000,767.92359
1550000,792.35435
1600000,832.55053
1650000,912.05716
1700000,860.52418
1750000,891.65568
1800000,921.33164
1850000,960.65044
1900000,998.18826
1950000,1046.07105
2000000,1099.9155
2050000,1117.01846
2100000,1175.93646
2150000,1227.68521
2200000,1199.57447
2250000,1205.14393
2300000,1262.04729
2350000,1235.90827
2400000,1483.73485
2450000,1271.19899
2500000,1381.45089
2550000,1434.65519
2600000,1511.05762
2650000,1462.21757
2700000,1520.83516
2750000,1623.51966
2800000,1646.6856
2850000,1672.50991
2900000,1710.56986
2950000,1728.68013
3000000,1767.69257
