x, y
5,2.25782
6,2.30312
7,2.30908
8,2.3222
9,2.31743
10,2.31147
11,2.31504
12,2.321
13,2.34723
14,2.34008
15,2.3365
16,2.34246
17,2.34365
18,2.33054
19,2.352
20,2.31385
21,2.36154
22,2.32816
23,2.34604
24,2.33531
25,2.37823
26,2.3222
27,2.33769
28,2.39015
29,2.35081
30,2.34485
31,2.38657
32,2.3675
33,2.36988
34,2.34604
35,2.34365
36,2.37823
37,2.31266
38,2.3675
39,2.32339
40,2.36392
41,2.35796
42,2.34962
43,2.36869
44,2.35438
45,2.34842
46,2.3818
47,2.37465
48,2.38061
49,2.37346
50,2.36869
51,2.35677
52,2.38657
53,2.38061
54,2.40564
55,2.40922
56,2.39253
57,2.41518
58,2.38299
59,2.40207
60,2.42591
61,2.38895
62,2.39611
63,2.42233
64,2.3675
65,2.40088
66,2.38776
67,2.37703
68,2.39372
69,2.40803
70,2.38061
71,2.38776
72,2.42233
73,2.39134
74,2.37823
75,2.42233
76,2.39849
77,2.36988
78,2.37465
79,2.3818
80,2.37226
81,2.38895
82,2.37823
83,2.39968
84,2.42233
85,2.37107
86,2.38299
87,2.41399
88,2.3973
89,2.40684
90,2.40445
91,2.36511
92,2.40207
93,2.39968
94,2.39491
95,2.40326
96,2.40207
97,2.38776
98,2.36511
99,2.40803
100,2.39611
101,2.39253
102,2.36034
103,2.39372
104,2.37823
105,2.4271
106,2.38657
107,2.36988
108,2.43306
109,2.42352
110,2.43187
111,2.41637
112,2.41756
113,2.39253
114,2.44021
115,2.41041
116,2.44141
117,2.41518
118,2.35677
119,2.41399
120,2.40922
121,2.40922
122,2.43306
123,2.43187
124,2.41518
125,2.37942
126,2.43306
127,2.41637
128,2.44141
129,2.41876
130,2.42949
131,2.42829
132,2.38657
133,2.40564
134,2.42352
135,2.42233
136,2.41876
137,2.40207
138,2.42114
139,2.43545
140,2.43783
141,2.41876
142,2.44617
143,2.46763
144,2.45452
145,2.44021
146,2.49743
147,2.44498
148,2.44498
149,2.42829
150,2.44141
151,2.43783
152,2.42829
153,2.4581
154,2.4569
155,2.41995
156,2.42233
157,2.44737
158,2.44141
159,2.43187
160,2.44141
161,2.41756
162,2.4271
163,2.45333
164,2.41637
165,2.41995
166,2.4271
167,2.41637
168,2.41876
169,2.44141
170,2.42949
171,2.41399
172,2.39134
173,2.43425
174,2.42352
175,2.42829
176,2.42352
177,2.42233
178,2.41876
179,2.41399
180,2.42829
181,2.43187
182,2.45333
183,2.44498
184,2.43068
185,2.45571
186,2.43425
187,2.45929
188,2.44498
189,2.45452
190,2.46644
191,2.44856
192,2.4271
193,2.42949
194,2.45452
195,2.43425
196,2.44141
197,2.46167
198,2.45214
199,2.46167
200,2.46644
201,2.46882
202,2.44975
203,2.48551
204,2.47955
205,2.46406
206,2.50101
207,2.47717
208,2.46048
209,2.50578
210,2.4426
211,2.45333
212,2.49982
213,2.5022
214,2.49028
215,2.47121
216,2.48909
217,2.51293
218,2.42829
219,2.35081
220,2.37107
221,2.32339
222,2.32816
223,2.39372
224,2.37346
225,2.34485
226,2.35796
227,2.3663
228,2.35915
229,2.56181
230,2.52366
231,2.55704
232,2.54393
233,2.52247
234,2.51055
235,2.54273
236,2.54393
237,2.51532
