x, y
50000,31.52728
100000,56.07247
150000,78.91417
200000,108.05607
250000,130.72371
300000,152.90141
350000,177.49667
400000,200.41227
450000,222.74494
500000,247.3402
550000,270.64562
600000,295.30883
650000,317.90137
700000,341.959
750000,365.7496
800000,389.34708
850000,411.91697
900000,437.0904
950000,465.68036
1000000,485.11147
1050000,507.95794
1100000,536.11517
1150000,557.29866
1200000,583.07171
1250000,604.15864
1300000,634.45926
1350000,665.02571
1400000,699.34011
1450000,735.11004
1500000,747.96438
1550000,779.58941
1600000,819.3171
1650000,845.31188
1700000,896.97719
1750000,937.10065
1800000,983.92129
1850000,1039.78276
1900000,1002.31409
1950000,987.94341
2000000,1019.36221
2050000,1054.77571
2100000,1155.62916
2150000,1126.53136
2200000,1190.27853
2250000,1255.74708
2300000,1290.68136
2350000,1231.21381
2400000,1258.83937
2450000,1322.48759
2500000,1335.85691
2550000,1384.01508
2600000,1514.17136
2650000,1566.6759
2700000,1600.45505
2750000,1593.39786
2800000,1645.90359
2850000,1687.44445
2900000,1702.41952
2950000,1739.36009
3000000,1768.62121
