x, y
50000,31.43311
100000,54.76356
150000,79.62346
200000,107.25975
250000,130.1825
300000,152.94433
350000,179.07381
400000,199.94855
450000,223.78206
500000,248.28672
550000,271.52658
600000,294.43026
650000,318.59517
700000,342.04125
750000,365.37886
800000,389.60695
850000,413.29741
900000,436.03539
950000,460.4423
1000000,489.03823
1050000,509.8772
1100000,533.69641
1150000,560.88686
1200000,586.62772
1250000,612.54025
1300000,635.59413
1350000,670.69888
1400000,695.95098
1450000,731.37403
1500000,767.31801
1550000,810.29296
1600000,857.39255
1650000,884.29332
1700000,916.92567
1750000,960.03294
1800000,984.55191
1850000,949.37563
1900000,994.5941
1950000,1043.62011
2000000,1100.56162
2050000,1120.26215
2100000,1173.94805
2150000,1223.10042
2200000,1219.10453
2250000,1194.98134
2300000,1241.39428
2350000,1335.67572
2400000,1238.11245
2450000,1378.9475
2500000,1408.7534
2550000,1476.79448
2600000,1494.11082
2650000,1563.83395
2700000,1594.50769
2750000,1629.33111
2800000,1620.88871
2850000,1632.60579
2900000,1729.35605
2950000,1753.40772
3000000,1772.29643
