x, y
5,2.29716
6,2.34723
7,2.3222
8,2.36511
9,2.32697
10,2.37226
11,2.26498
12,2.27571
13,2.28763
14,2.54035
15,2.25544
16,2.28763
17,2.31743
18,2.27451
19,2.34723
20,2.31266
21,2.2614
22,2.29836
23,2.29955
24,2.21491
25,2.29716
26,2.28882
27,2.24113
28,2.31862
29,2.27332
30,2.30551
31,2.27809
32,2.29359
33,2.2769
34,2.29239
35,2.31624
36,2.33173
37,2.27094
38,2.25782
39,2.31147
40,2.31862
41,2.31147
42,2.30908
43,2.32577
44,2.34127
45,2.29478
46,2.30074
47,2.32935
48,2.31862
49,2.30908
50,2.32339
51,2.28643
52,2.32935
53,2.31385
54,2.29597
55,2.33054
56,2.27094
57,2.3222
58,2.33889
59,2.35081
60,2.28047
61,2.31504
62,2.30074
63,2.26498
64,2.31385
65,2.33889
66,2.30908
67,2.34246
68,2.25663
69,2.29716
70,2.31981
71,2.29597
72,2.33769
73,2.30789
74,2.30074
75,2.32458
76,2.34962
77,2.35558
78,2.31981
79,2.34962
80,2.29001
81,2.30908
82,2.35796
83,2.31385
84,2.31266
85,2.28286
86,2.35677
87,2.34008
88,2.31385
89,2.30908
90,2.29955
91,2.3663
92,2.28405
93,2.30789
94,2.3067
95,2.24948
96,2.34008
97,2.35319
98,2.34246
99,2.33889
100,2.31981
101,2.352
102,2.28882
103,2.3365
104,2.36154
105,2.352
106,2.41876
107,2.33293
108,2.32577
109,2.37584
110,2.33889
111,2.32577
112,2.33412
113,2.39015
114,2.31624
115,2.3818
116,2.321
117,2.352
118,2.352
119,2.30432
120,2.26736
121,2.34962
122,2.39849
123,2.34723
124,2.39134
125,2.33412
126,2.35796
127,2.31743
128,2.34365
129,2.31743
130,2.35319
131,2.38657
132,2.39253
133,2.34127
134,2.38895
135,2.41041
136,2.36154
137,2.34842
138,2.32935
139,2.33173
140,2.37942
141,2.3973
142,2.39134
143,2.29955
144,2.41995
145,2.33054
146,2.34723
147,2.36034
148,2.35319
149,2.35915
150,2.3818
151,2.30789
152,2.37703
153,2.42591
154,2.321
155,2.34127
156,2.36034
157,2.37346
158,2.37465
159,2.39134
160,2.34246
161,2.39491
162,2.34604
163,2.35677
164,2.41876
165,2.38061
166,2.32577
167,2.40922
168,2.37823
169,2.38538
170,2.38657
171,2.4128
172,2.35915
173,2.33769
174,2.43545
175,2.38419
176,2.36869
177,2.36392
178,2.42591
179,2.43783
180,2.36392
181,2.37584
182,2.39372
183,2.37107
184,2.352
185,2.43545
186,2.41041
187,2.3973
188,2.38538
189,2.39491
190,2.36511
191,2.48909
192,2.33173
193,2.35081
194,2.42472
195,2.39372
196,2.3663
197,2.3067
198,2.4116
199,2.32577
200,2.46882
201,2.37346
202,2.40207
203,2.44141
204,2.40326
205,2.43545
206,2.48194
207,2.3973
208,2.40922
209,2.32697
210,2.38419
211,2.42829
212,2.3818
213,2.45333
214,2.42352
215,2.40088
216,2.38776
217,2.47121
218,2.41637
219,2.42352
220,2.37942
221,2.42114
222,2.43306
223,2.33769
224,2.35558
225,2.4128
226,2.39849
227,2.36988
228,2.42829
229,2.37942
230,2.44379
231,2.45929
232,2.39372
233,2.34962
234,2.40922
235,2.40088
236,2.41041
237,2.41637
238,2.43545
239,2.41637
240,2.42949
241,2.43545
242,2.37107
243,2.48671
244,2.41995
245,2.43425
246,2.38061
247,2.39611
248,2.40207
249,2.40445
250,2.43664
251,2.37823
252,2.42949
253,2.45333
254,2.39253
255,2.42472
256,2.41876
257,2.45452
258,2.44617
259,2.43187
260,2.47598
261,2.46763
262,2.41876
263,2.52724
264,2.46048
265,2.42949
266,2.50459
267,2.48432
268,2.44021
269,2.46882
270,2.50101
271,2.48075
272,2.47717
273,2.4116
274,2.49743
275,2.51889
276,2.50459
277,2.46882
278,2.43068
279,2.52128
280,2.48909
281,2.55108
282,2.53081
283,2.52724
284,2.48432
285,2.52247
286,2.50936
287,2.47955
288,2.5022
289,2.51293
290,2.5177
291,2.52128
292,2.4569
293,2.54035
294,2.53797
295,2.52962
296,2.50936
297,2.50936
298,2.44617
299,2.45094
300,2.5177
301,2.51055
302,2.52962
303,2.51174
304,2.52724
305,2.54989
306,2.53797
307,2.44617
308,2.55942
309,2.48551
310,2.50816
311,2.52843
312,2.52485
313,2.47121
314,2.50697
315,2.50816
316,2.50578
317,2.47836
318,2.49624
319,2.49863
320,2.46763
321,2.44856
322,2.49267
323,2.51532
324,2.5022
325,2.51174
326,2.56896
327,2.54869
328,2.55942
329,2.53677
330,2.5475
331,2.53439
332,2.50459
333,2.54273
334,2.54989
335,2.55227
336,2.5475
337,2.50459
338,2.53439
339,2.57254
340,2.55704
341,2.46525
342,2.4879
343,2.5332
344,2.55227
345,2.53081
346,2.56181
347,2.52128
348,2.53558
349,2.50936
350,2.55346
351,2.52604
352,2.44975
353,2.53797
354,2.57015
355,2.53916
356,2.49505
357,2.4879
358,2.57373
359,2.59399
360,2.52724
361,2.55346
362,2.49505
363,2.6226
364,2.58088
365,2.57969
366,2.59876
367,2.55346
368,2.59876
369,2.59638
370,2.54154
371,2.59638
372,2.52366
373,2.57969
374,2.53201
375,2.51174
376,2.53558
377,2.59399
378,2.55227
379,2.60711
380,2.55585
381,2.56062
382,2.59399
383,2.58207
384,2.5785
385,2.55823
386,2.57492
387,2.5177
388,2.50936
389,2.54631
390,2.60711
391,2.50459
392,2.55942
393,2.5177
394,2.61188
395,2.59161
396,2.59995
397,2.54869
398,2.51889
399,2.62141
400,2.56658
401,2.5773
402,2.57611
403,2.58565
404,2.62856
405,2.55585
406,2.53081
407,2.65121
408,2.56419
409,2.56896
410,2.59876
411,2.55108
412,2.59757
413,2.59638
414,2.51293
415,2.61307
416,2.58207
417,2.51293
418,2.563
419,2.58207
420,2.58803
421,2.54989
422,2.52247
423,2.62022
424,2.52604
425,2.56777
426,2.62737
427,2.53677
428,2.57254
429,2.53677
430,2.53916
431,2.59161
432,2.57969
433,2.54273
434,2.58327
435,2.61426
436,2.53677
437,2.62976
438,2.61188
439,2.6381
440,2.61188
441,2.54393
442,2.57373
443,2.58207
444,2.57373
445,2.72393
446,2.58923
447,2.62737
448,2.61784
449,2.55704
450,2.6679
451,2.55823
452,2.53916
453,2.61664
454,2.63691
455,2.62499
456,2.59638
457,2.57969
458,2.59399
459,2.61068
460,2.58803
461,2.62141
462,2.60234
463,2.60711
464,2.57254
465,2.59042
466,2.6083
467,2.59757
468,2.59638
469,2.5928
470,2.61784
471,2.55346
472,2.64764
473,2.62856
474,2.59757
475,2.56181
476,2.58923
477,2.63929
478,2.59638
479,2.61784
480,2.56538
481,2.65598
482,2.59757
483,2.59519
484,2.59161
485,2.64168
486,2.58088
487,2.55942
488,2.61903
489,2.57254
490,2.65837
491,2.58088
492,2.64645
493,2.67386
494,2.62022
495,2.68221
496,2.64525
497,2.57134
498,2.70128
499,2.61188
500,2.66075
