x,y,z
0,2,0.85235
100,2,67.67869
200,2,133.06856
300,2,198.81487
400,2,268.84198
500,2,318.66908
0,52,0.85711
100,52,115.06915
200,52,234.64322
300,52,407.86505
400,52,544.09742
500,52,591.29834
0,102,0.83447
100,102,140.44762
200,102,292.74583
300,102,450.01507
400,102,612.72025
500,102,745.16177
0,152,0.84758
100,152,139.23049
200,152,284.05666
300,152,428.89833
400,152,623.22974
500,152,702.01516
0,202,0.84758
100,202,156.60763
200,202,301.20254
300,202,428.0293
400,202,603.83916
500,202,766.95323
0,252,0.86188
100,252,168.41531
200,252,293.86401
300,252,458.17614
400,252,607.68604
500,252,737.01859
0,302,0.8142
100,302,158.30874
200,302,330.37186
300,302,462.69894
400,302,624.2919
500,302,777.68326
0,352,0.86546
100,352,165.39931
200,352,333.32109
300,352,485.3344
400,352,665.74335
500,352,776.50309
0,402,0.83923
100,402,161.82184
200,402,344.50412
300,402,432.54375
400,402,621.59657
500,402,740.52572
0,452,0.844
100,452,154.01363
200,452,341.70151
300,452,494.41218
400,452,583.67491
500,452,823.29869
0,502,0.8595
100,502,183.73609
200,502,336.27748
300,502,535.46906
400,502,690.76657
500,502,837.80885
