x, y
0,1.08004
1,1.60336
2,1.84894
3,1.87993
4,1.67727
5,1.59979
6,1.54734
7,1.68681
8,1.73569
9,1.8239
10,1.93954
11,2.07901
12,2.19941
13,2.34604
14,2.49386
15,2.59876
16,2.72155
17,2.81692
18,2.92897
19,3.07322
20,3.25084
21,3.40819
22,3.45349
23,3.59774
24,3.71933
25,3.95298
26,3.9649
27,4.08173
28,4.20094
29,4.33564
30,4.51565
31,4.64082
32,4.80056
33,4.87447
34,5.01275
35,5.15461
36,5.24998
37,5.51105
38,5.48959
39,5.64098
40,5.70178
41,5.90563
42,6.01888
43,6.22272
44,6.26683
45,6.37054
46,6.50048
47,6.63042
48,6.91056
49,6.94513
50,7.01904
51,7.236
52,7.32064
53,7.48396
54,7.55548
55,7.68065
56,7.84516
57,7.92503
58,8.18372
59,8.24094
60,8.36134
61,8.46386
62,8.58426
63,8.77023
64,8.84414
65,8.96215
66,9.12547
67,9.25303
68,9.36747
69,9.6035
70,9.87291
71,10.03385
72,10.14352
73,9.9659
74,10.11014
75,10.45346
76,10.38194
77,10.62751
78,10.66208
79,10.82778
80,10.8707
81,10.96606
82,11.09123
83,11.38687
84,11.32965
85,11.65509
86,11.83629
87,11.72304
88,11.95788
89,12.13431
90,12.12716
91,12.42399
92,12.59685
93,12.54559
94,12.71963
95,12.81619
96,12.99858
97,13.27753
98,13.18932
99,13.31091
100,13.5386
101,13.61251
102,13.72457
103,14.00113
104,14.00113
105,14.0667
106,14.37902
107,14.35757
108,14.48393
109,14.75096
110,14.83679
111,14.92143
112,15.16342
113,15.10262
114,15.18488
115,15.53893
116,15.46979
117,15.61046
118,15.88345
119,15.94663
120,16.03246
121,16.34002
122,16.38412
123,16.70718
124,16.64281
125,16.85858
126,16.95156
127,17.20667
128,17.17567
129,17.33541
130,17.37475
131,17.52377
132,17.6096
133,17.75265
134,17.91
135,18.06378
136,18.3475
137,18.28194
138,18.45717
139,18.70155
140,18.74447
141,18.8446
142,18.86725
143,18.98885
144,19.21654
145,19.37151
146,19.5086
147,19.89245
148,19.66953
149,19.7506
150,19.8853
151,19.9008
152,20.25962
153,20.20836
154,20.40267
155,20.44916
156,20.60294
157,20.89739
158,20.94507
159,21.10124
160,21.26932
161,21.12269
162,21.63172
163,21.58403
164,21.86418
165,21.81888
166,21.99173
167,22.08948
168,22.39108
169,22.3887
170,22.59254
171,22.63665
172,22.75586
173,22.85361
174,23.08488
175,23.03243
176,23.37813
177,23.45324
178,23.56887
179,23.59986
180,23.92411
181,23.82994
182,24.16611
183,24.05286
184,24.45579
185,24.38664
186,24.53566
187,24.66083
188,24.83487
189,24.93978
190,25.09117
191,25.19131
192,25.57516
193,25.53105
194,26.13068
195,25.6741
196,25.90775
197,26.00789
198,26.25704
199,26.14975
200,26.48592
201,26.51811
202,26.78037
203,26.91984
204,27.06647
205,27.00567
206,27.17376
207,27.24409
208,27.50397
209,27.51231
210,27.71497
211,27.70305
212,27.99988
213,28.00703
214,28.32055
215,28.42546
216,28.64599
217,28.56851
218,29.00124
219,28.85103
220,29.19436
221,29.12283
222,29.28376
223,29.32668
224,29.76537
225,29.77252
226,29.8512
227,29.92749
228,30.12061
229,30.23982
230,30.36737
231,30.35307
232,30.75719
233,30.55573
234,31.03018
235,31.04687
236,31.18753
237,31.17681
238,31.84319
239,31.65007
240,31.69537
241,31.91233
242,32.05538
243,32.22585
244,32.42373
245,32.5346
246,32.75633
247,32.81713
248,32.93157
249,33.07343
250,33.09011
251,33.27608
252,33.30946
253,33.34761
254,33.65874
255,33.65755
256,33.93292
257,34.02352
258,34.21187
259,34.3132
260,34.50513
261,34.64818
262,34.67917
263,35.04872
264,34.88779
265,35.09045
266,35.30264
267,35.42542
268,35.5792
269,35.7306
270,35.75087
271,35.87604
272,36.00955
273,36.09538
274,36.32903
275,36.31115
276,36.52573
277,36.61633
278,36.81898
279,36.91554
280,37.09078
281,37.35662
282,39.33549
283,37.46867
284,37.63795
285,37.8716
286,38.00631
287,38.10644
288,38.29598
289,38.45334
290,38.51652
291,38.64646
292,38.78355
293,38.75017
294,38.87773
295,39.14833
296,39.34622
297,39.37006
298,39.36172
299,39.85643
300,39.68239
301,39.90412
302,40.04598
303,40.26413
304,40.46202
305,40.30704
306,40.47513
307,40.85064
308,40.82918
309,41.06522
310,41.16893
311,41.5659
312,41.41688
313,41.4753
314,41.70656
315,41.69583
316,41.9116
317,42.07373
318,42.24777
319,42.10353
320,42.36341
321,42.41943
322,42.65308
323,42.68169
324,43.17284
325,43.2241
326,43.30039
327,43.30754
328,43.64252
329,43.55669
330,43.58053
331,43.79869
332,43.96558
333,44.18373
334,44.24691
335,44.60573
336,44.44242
337,44.56162
338,44.73448
339,45.05992
340,45.2137
341,45.41516
342,45.46046
343,45.54987
344,45.73226
345,45.94445
346,45.95518
347,46.11135
348,46.45705
349,46.19122
350,46.61202
351,46.55242
352,46.72527
353,46.84806
354,47.21522
355,47.35947
356,47.51325
357,47.41549
358,47.71948
359,47.85061
360,47.94836
361,48.29288
362,48.46215
363,48.6064
364,48.59924
365,48.666
366,48.76375
367,49.15714
368,49.31211
369,49.2537
370,49.6769
371,49.81399
372,49.7973
373,49.89266
374,49.89624
375,50.25029
376,50.38619
377,50.41122
378,50.6711
379,50.78197
380,51.04423
381,50.94409
382,51.03827
383,51.14794
384,51.06091
385,51.53894
386,51.72372
387,52.06704
388,51.88227
389,51.76663
390,52.12903
391,52.526
392,52.43659
393,52.56772
394,52.56057
395,52.73819
396,52.86336
397,53.13396
398,53.23172
399,53.54285
400,53.35331
401,53.61557
402,53.86114
403,53.96843
404,53.99942
405,54.36182
406,54.64196
407,54.53229
408,54.90899
409,55.23801
410,55.29523
411,55.09615
412,55.09615
413,55.53603
414,55.41444
415,55.65763
416,55.76015
417,55.91273
418,56.09989
419,56.1285
420,56.29182
