x,y,z
0,2,0.86069
100,2,71.70558
200,2,140.24854
300,2,209.61404
400,2,282.13024
500,2,346.00377
0,52,0.76056
100,52,154.48689
200,52,290.89928
300,52,365.34309
400,52,548.99335
500,52,554.7905
0,102,0.73075
100,102,152.02165
200,102,283.44035
300,102,450.94013
400,102,659.93428
500,102,681.74601
0,152,0.76175
100,152,142.59815
200,152,286.98564
300,152,526.54147
400,152,681.79011
500,152,816.92815
0,202,0.7534
100,202,137.50315
200,202,321.14029
300,202,462.24952
400,202,626.58668
500,202,780.66707
0,252,0.77486
100,252,156.15821
200,252,333.92072
300,252,514.38928
400,252,678.26867
500,252,821.78473
0,302,0.79632
100,302,185.7233
200,302,341.74323
300,302,472.16773
400,302,611.12165
500,302,806.83589
0,352,0.7689
100,352,162.13775
200,352,325.20175
300,352,508.09979
400,352,648.48065
500,352,860.42047
0,402,0.79155
100,402,169.14368
200,402,308.37774
300,402,506.01125
400,402,713.78231
500,402,932.36566
0,452,0.78321
100,452,167.90271
200,452,330.30748
300,452,533.31137
400,452,733.82139
500,452,889.98675
0,502,0.79155
100,502,174.62015
200,502,363.59191
300,502,482.21707
400,502,648.8955
500,502,938.22837
